feature,importance
INU_PC_SMN,0.0035676964060616274
TMP_DC_S12,0.0035113886691564788
TMP_DC_S01,0.003481202484266889
AET_MM_S01,0.0034562505083489932
SWC_PC_S06,0.003438948757307621
PET_MM_S03,0.0034322438841634067
GLC_PC_U04,0.003413916449714777
DOR_PC_PVA,0.00341175930456616
PAC_PC_USE,0.0034087987772596726
TMP_DC_S02,0.003403813918172502
PET_MM_S10,0.003392843526513537
TMP_DC_S09,0.003385237913614802
TMP_DC_SMN,0.0032901161989971396
AET_MM_S02,0.003258549701765744
PET_MM_S11,0.0031142457688724074
PET_MM_S02,0.003070043786449679
IRE_PC_USE,0.00303406255024985
SNW_PC_S10,0.0029467924787561733
PET_MM_S12,0.0029227320755704335
SNW_PC_S04,0.0028934813059221286
WET_PC_UG2,0.002741146079980738
GLC_PC_U13,0.0026308128041579626
PNV_PC_U05,0.0026040362390182758
PET_MM_S01,0.0025054009161136607
GLC_PC_U02,0.0023396121503191643
HDI_IX_SAV,0.002315306883664554
SNW_PC_S05,0.002222540019471972
PNV_PC_U10,0.0022125917924554887
SNW_PC_S09,0.002171223291260119
HGBD,0.0021344286722097556
PNV_PC_U04,0.0020346997475654822
HGAD,0.002034577329817279
HGCD,0.0020262960178510665
GLC_PC_U06,0.0019593220720825594
GLC_PC_U20,0.0018883487936590473
TEC_CL_SMJ,0.0018416618349015492
SNW_PC_S06,0.0017850966380405155
FEC_CL_SMJ,0.0016821454475175847
SNW_PC_S08,0.0015386386157471438
GLC_PC_U14,0.0015268712339272684
PNV_PC_U08,0.0014964906127682438
GLC_PC_U12,0.0014461539900119745
SNW_PC_S07,0.0014100736554644405
PNV_PC_U09,0.0013073951678477854
CLS_CL_SMJ,0.0011959155519938563
LIT_CL_SMJ,0.001033056019842754
WET_CL_SMJ,0.0007583017146181621
PNV_PC_U11,0.0007411682528229783
GLC_CL_SMJ,0.000681250872377924
PNV_CL_SMJ,0.0006795819691195897
GLC_PC_U11,0.0006669197902268144
TBI_CL_SMJ,0.0006585133881646553
PNV_PC_U06,0.0006157781567791546
PNV_PC_U12,0.000585169802222447
FMH_CL_SMJ,0.000544234664501499
CLZ_CL_SMJ,0.0005008044923404524
GLC_PC_U09,0.000450362354041164
PNV_PC_U07,0.00038322290394520673
GLC_PC_U18,0.00029215224420539853
PRM_PC_USE,0.00028268964871641325
WET_PC_U02,0.0002685386879341125
GLC_PC_U15,0.00020021479453536997
HGVAR,0.00014732946248075695
WET_PC_U09,0.00010179805476367834
GLC_PC_U21,9.870269745043675e-05
HGBC,7.347129345625081e-05
PNV_PC_U13,7.10609589401369e-05
GLA_PC_USE,6.847779259421232e-05
WET_PC_U03,3.538547647400388e-05
GLC_PC_U01,8.751754567772712e-07
WET_PC_U08,0.0
GLC_PC_U08,0.0
WET_PC_U05,0.0
PNV_PC_U15,0.0
PNV_PC_U14,0.0
GLC_PC_U03,0.0
GLC_PC_U05,0.0
GLC_PC_U07,0.0
GLC_PC_U10,0.0
PNV_PC_U03,0.0
HGAC,0.0
WET_PC_U06,0.0
GLC_PC_U17,0.0
WET_PC_U07,0.0
GLC_PC_U19,0.0
PNV_PC_U01,0.0
PNV_PC_U02,0.0
WET_PC_U04,0.0
