feature,importance
GLC_PC_U16,0.003361019952647372
TMP_DC_SMX,0.003309645151828865
SWC_PC_S06,0.003291188043066785
RAW_DIS_NEAREST_MAJ_DAM,0.0032892653094498724
INU_PC_SMN,0.003269229239452459
PET_MM_S09,0.0032437156615386944
TMP_DC_S01,0.003184815821523757
PET_MM_S10,0.0030948879744168694
DOR_PC_PVA,0.0030664805676215733
PET_MM_S04,0.0030555799750104098
PET_MM_S03,0.003039906825637313
IRE_PC_USE,0.0030232754883997544
PET_MM_S11,0.0029943558185552854
KAR_PC_USE,0.0028659607255653043
TEC_CL_SMJ,0.0028659026125165354
PET_MM_S01,0.0028330051251370357
GLC_PC_U04,0.0028083582843788884
SNW_PC_S04,0.002774885651743087
PET_MM_S12,0.0026731435412755793
WET_PC_UG2,0.002635470422493283
PET_MM_S02,0.0026269646021799603
SNW_PC_S10,0.002596715915958758
GLC_PC_U13,0.0025673378493491572
GLC_PC_U20,0.0023262256231453837
PNV_PC_U05,0.0022942588545152775
GLC_PC_U02,0.002266543986487836
HGAD,0.0021476135259711785
HDI_IX_SAV,0.00214014548633164
HGBD,0.0020607565419091534
SNW_PC_S06,0.002016460690949245
PNV_PC_U10,0.0019890826224469057
SNW_PC_S05,0.0019299906753771062
FEC_CL_SMJ,0.0018834665758033762
HGCD,0.0018481260976053562
PNV_PC_U04,0.0017690066198783624
SNW_PC_S09,0.0017320583069055852
GLC_PC_U06,0.0015569381831815352
PNV_PC_U08,0.0015190915282827593
SNW_PC_S08,0.0014952829214059458
PNV_PC_U09,0.0013794120010921557
GLC_PC_U14,0.0013202444080974856
SNW_PC_S07,0.0011763809108575902
LIT_CL_SMJ,0.0011735040784501632
GLC_PC_U12,0.0010311197083836105
TBI_CL_SMJ,0.0009187695364179601
GLC_CL_SMJ,0.0008021331491065624
GLC_PC_U11,0.0006808411130982682
WET_CL_SMJ,0.0006326241656146269
CLS_CL_SMJ,0.0006171691081486943
PNV_CL_SMJ,0.0005949748881907817
PNV_PC_U06,0.000527038461994684
CLZ_CL_SMJ,0.0005130648357715112
PNV_PC_U12,0.0005087506493503317
FMH_CL_SMJ,0.00048826902467001386
PNV_PC_U11,0.00043894113924886324
WET_PC_U02,0.0004266076324807996
GLC_PC_U09,0.00041614287328551746
PRM_PC_USE,0.00029367568974240465
PNV_PC_U07,0.00027440945055235365
GLC_PC_U18,0.00021019031512717543
HGVAR,0.00018504265699304456
WET_PC_U09,0.0001432962782208104
GLC_PC_U15,9.518927889543414e-05
GLA_PC_USE,9.135973493362877e-05
HGBC,6.60326939761898e-05
GLC_PC_U21,6.495378634596381e-05
PNV_PC_U13,5.34887572168739e-05
GLC_PC_U01,2.921162208169598e-05
PNV_PC_U02,2.225443874754215e-05
WET_PC_U03,1.7788421018935863e-06
PNV_PC_U14,0.0
PNV_PC_U03,0.0
PNV_PC_U01,0.0
WET_PC_U07,0.0
PNV_PC_U15,0.0
GLC_PC_U17,0.0
WET_PC_U04,0.0
WET_PC_U05,0.0
WET_PC_U06,0.0
WET_PC_U08,0.0
HGAC,0.0
GLC_PC_U10,0.0
GLC_PC_U08,0.0
GLC_PC_U07,0.0
GLC_PC_U05,0.0
GLC_PC_U03,0.0
GLC_PC_U19,0.0
