year,ecoregion,acres_planted,acres_harvested,total_production,total_value,avg_yield,value_per_acre
2000,CntlPlains,15934060,14548973.336368944,1211489377.68181,7448622652.144915,83.26975035780545,511.96895340547115
2000,EastHghlnds,21742498,20364484.82809957,1762593317.8372889,10926958923.702402,86.55231559824219,536.5693763401779
2000,NorthEast,27317449,25119011.66393261,4583730513.498066,34273040091.05703,182.48052808859762,1364.4262978813106
2000,SECstPlain,25769529,23388793.24405495,38549842628.17968,14920163430.47637,1648.2185389354545,637.9193349049264
2000,SEPlains,17906180,16480817.080169877,55723965860.49506,693765506831.2274,3381.140970707302,42095.33443981871
2000,WestMnts,15192991,13896884.195755238,2018804237.865331,14592023840.78888,145.27027853351248,1050.0212590996455
2000,WestPlains,6294692,5804452.576744111,465640908.66069967,2251357075.54415,80.22133052241963,387.86725290242657
2000,WestXeric,14505246,13292045.255362228,43090402050.05418,540525795954.7458,3241.8187887729923,40665.359285975115
2001,CntlPlains,20177037,18691145.55130788,1529590962.9179745,9385256567.405294,81.83505707123147,502.1231332045658
2001,EastHghlnds,19602891,17970900.534351908,1571500377.5894516,10279921334.98863,87.44694650028707,572.0315081227152
2001,NorthEast,28816876,26500585.510675285,4583371892.70941,35070540059.91906,172.9536085481236,1323.3873661316472
2001,SECstPlain,28748442,26490576.682107273,49210597007.50383,17709472942.151104,1857.6642403086116,668.5197213586047
2001,SEPlains,25263165,22987086.32127635,68717409623.2426,881771808573.2795,2989.391898687014,38359.44217763391
2001,WestMnts,15577455,14353449.888168987,2219113279.7113934,17913551034.08369,154.60487179047635,1248.031042965438
2001,WestPlains,8190830,7501547.145460216,458214753.11057603,2344620660.5885677,61.08269990516267,312.55161303724987
2001,WestXeric,17236974,15938324.011724511,46291317293.75886,580691590039.1954,2904.403076490737,36433.66702873078
2002,CntlPlains,14682181,13527738.716190992,971542778.9427339,6179655014.0614805,71.81856475243124,456.8135993538384
2002,EastHghlnds,17319533,15728633.269931912,1191008061.5013485,7837773813.946298,75.72228565963024,498.3124521651605
2002,NorthEast,31355589,28603550.547537047,4537993549.420447,37398642546.181595,158.65140734464512,1307.4825268292389
2002,SECstPlain,22058967,20062554.16046018,31733990693.765675,13524167761.774843,1581.7522754060833,674.1000001100874
2002,SEPlains,16676084,15475615.806076193,52678066983.62646,665277002722.1166,3403.9399558461164,42988.7256868259
2002,WestMnts,22083726,20115372.889052045,4023561669.258824,32013021667.568752,200.02421488535666,1591.4704561600297
2002,WestPlains,5357937,4968444.919175187,412245507.76037574,2013926202.517067,82.97274387995283,405.3433690578982
2002,WestXeric,14836953,13520328.610507922,52616738970.79169,678042671721.2955,3891.6760447596116,50149.86626836308
2003,CntlPlains,18839745,17100517.15459211,1716440204.6140957,9571316170.059513,100.37358455870844,559.7091645552524
2003,EastHghlnds,18018196,16448529.296605479,1118009038.9590552,8001352418.268662,67.97015215152283,486.4478929383626
